metric,val_prec,val_recall,val_f1,test_prec,test_recall,test_f1,name,freeze_enc,params,data,tag_emb_type,tag_emb,tag_rnn,par_rnn,par_rnn_l,mlp_h,arc_norm,par_rnn_h,par_type,par_gnn_layers,seed,training_steps
parser_labeled_results,0.646,0.695,0.6696,0.6698,0.6779,0.6738,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,3,2000
parser_labeled_results,0.6573,0.6768,0.6669,0.6749,0.6587,0.6667,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,4,2000
parser_labeled_results,0.6903,0.6669,0.6784,0.6919,0.6587,0.6749,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,0,2000
parser_labeled_results,0.6531,0.6752,0.664,0.6774,0.6562,0.6667,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,2,2000
parser_labeled_results,0.6546,0.6735,0.664,0.7025,0.6755,0.6887,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,1,200,simple,0,1,2000
parser_labeled_results,0.6535,0.6529,0.6532,0.6567,0.6346,0.6455,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,0,2000
parser_labeled_results,0.6477,0.6867,0.6667,0.6643,0.6707,0.6675,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,1,2000
parser_labeled_results,0.6582,0.6843,0.671,0.6797,0.6683,0.6739,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,2,2000
parser_labeled_results,0.6471,0.6711,0.6588,0.6626,0.6466,0.6545,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,4,2000
parser_labeled_results,0.6337,0.6488,0.6411,0.6641,0.6274,0.6452,bert-base-uncased,frozen,2.95,ade,linear,0,0,LSTM,2,300,0,200,simple,0,3,2000
parser_labeled_results,0.6587,0.681,0.6696,0.6538,0.6538,0.6538,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,1,2000
parser_labeled_results,0.6614,0.6554,0.6584,0.6624,0.6226,0.6419,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,0,2000
parser_labeled_results,0.6535,0.6826,0.6677,0.6537,0.6442,0.6489,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,3,2000
parser_labeled_results,0.6635,0.681,0.6721,0.6995,0.6659,0.6823,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,2,2000
parser_labeled_results,0.6902,0.676,0.683,0.6726,0.637,0.6543,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,1,200,simple,0,4,2000
parser_labeled_results,0.6619,0.6521,0.657,0.6961,0.6442,0.6692,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,2,2000
parser_labeled_results,0.6914,0.6521,0.6712,0.7078,0.6346,0.6692,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,4,2000
parser_labeled_results,0.6212,0.7057,0.6607,0.6358,0.6923,0.6628,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,1,2000
parser_labeled_results,0.6481,0.6818,0.6645,0.6811,0.6827,0.6819,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,3,2000
parser_labeled_results,0.6315,0.6554,0.6432,0.6481,0.6418,0.6449,bert-base-uncased,frozen,2.71,ade,linear,0,0,LSTM,2,100,0,200,simple,0,0,2000
parser_labeled_results,0.6399,0.6711,0.6551,0.6846,0.6731,0.6788,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,0,2000
parser_labeled_results,0.6333,0.6933,0.6619,0.6612,0.6755,0.6683,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,2,2000
parser_labeled_results,0.6344,0.6851,0.6587,0.6513,0.6466,0.649,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,3,2000
parser_labeled_results,0.6575,0.6884,0.6726,0.6748,0.6635,0.6691,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,1,2000
parser_labeled_results,0.6365,0.7016,0.6675,0.6576,0.6971,0.6768,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,1,200,simple,0,4,2000
parser_labeled_results,0.6505,0.6414,0.6459,0.651,0.6322,0.6415,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,0,200,simple,0,4,2000
parser_labeled_results,0.6581,0.6298,0.6436,0.6772,0.6154,0.6448,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,0,200,simple,0,0,2000
parser_labeled_results,0.6566,0.629,0.6425,0.6849,0.6322,0.6575,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,0,200,simple,0,2,2000
parser_labeled_results,0.6307,0.6702,0.6499,0.6524,0.6587,0.6555,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,0,200,simple,0,1,2000
parser_labeled_results,0.651,0.6521,0.6516,0.6727,0.6274,0.6493,bert-base-uncased,frozen,3.27,ade,linear,0,0,LSTM,2,500,0,200,simple,0,3,2000
parser_labeled_results,0.6504,0.6343,0.6423,0.6018,0.5932,0.5975,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,1,200,simple,0,2,2000
parser_labeled_results,0.6566,0.6478,0.6522,0.619,0.6102,0.6146,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,1,200,simple,0,0,2000
parser_labeled_results,0.6533,0.6449,0.6491,0.6179,0.6061,0.612,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,1,200,simple,0,3,2000
parser_labeled_results,0.6457,0.6549,0.6502,0.612,0.6245,0.6182,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,1,200,simple,0,1,2000
parser_labeled_results,0.6549,0.6442,0.6495,0.6247,0.6116,0.6181,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,1,200,simple,0,4,2000
parser_labeled_results,0.652,0.64,0.6459,0.6081,0.6007,0.6044,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,0,200,simple,0,1,2000
parser_labeled_results,0.6662,0.6449,0.6554,0.6153,0.6027,0.6089,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,0,200,simple,0,4,2000
parser_labeled_results,0.6682,0.6336,0.6504,0.6236,0.6041,0.6137,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,0,200,simple,0,0,2000
parser_labeled_results,0.6612,0.6293,0.6449,0.6062,0.5844,0.5951,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,0,200,simple,0,2,2000
parser_labeled_results,0.6696,0.6534,0.6614,0.6369,0.6218,0.6293,bert-base-uncased,frozen,3.09,yamakata,linear,0,0,LSTM,2,300,0,200,simple,0,3,2000
parser_labeled_results,0.6543,0.652,0.6532,0.6175,0.6204,0.6189,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,1,200,simple,0,0,2000
parser_labeled_results,0.6635,0.6428,0.653,0.6165,0.6102,0.6133,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,1,200,simple,0,2,2000
parser_labeled_results,0.6597,0.6485,0.654,0.6253,0.6211,0.6232,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,1,200,simple,0,4,2000
parser_labeled_results,0.6569,0.6485,0.6526,0.6184,0.6163,0.6174,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,1,200,simple,0,1,2000
parser_labeled_results,0.662,0.6414,0.6515,0.6104,0.598,0.6041,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,1,200,simple,0,3,2000
parser_labeled_results,0.6627,0.6293,0.6456,0.6001,0.583,0.5914,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,0,200,simple,0,0,2000
parser_labeled_results,0.6632,0.6336,0.6481,0.6105,0.5918,0.601,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,0,200,simple,0,3,2000
parser_labeled_results,0.6579,0.635,0.6462,0.6339,0.6136,0.6236,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,0,200,simple,0,2,2000
parser_labeled_results,0.6583,0.6322,0.645,0.614,0.6007,0.6073,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,0,200,simple,0,1,2000
parser_labeled_results,0.6542,0.6449,0.6495,0.6218,0.6163,0.6191,bert-base-uncased,frozen,2.85,yamakata,linear,0,0,LSTM,2,100,0,200,simple,0,4,2000
parser_labeled_results,0.655,0.6513,0.6532,0.6264,0.6252,0.6258,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,1,200,simple,0,2,2000
parser_labeled_results,0.6697,0.6293,0.6489,0.6255,0.6034,0.6143,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,1,200,simple,0,4,2000
parser_labeled_results,0.6531,0.6378,0.6454,0.6159,0.6075,0.6116,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,1,200,simple,0,0,2000
parser_labeled_results,0.6597,0.6527,0.6562,0.626,0.6218,0.6239,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,1,200,simple,0,3,2000
parser_labeled_results,0.6709,0.6357,0.6528,0.6247,0.6082,0.6163,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,1,200,simple,0,1,2000
parser_labeled_results,0.6764,0.6223,0.6482,0.6162,0.5844,0.5999,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,0,200,simple,0,3,2000
parser_labeled_results,0.6463,0.623,0.6344,0.6162,0.6041,0.6101,bert-base-uncased,frozen,3.41,yamakata,linear,0,0,LSTM,2,500,0,200,simple,0,1,2000
